name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,experience,last_updated,brand_power,proof,proximity,velocity,risk,total_gravity
Patrick Mahomes,chiefs,QB,15.0,"6'3""",225,29.0,,Texas Tech,,,,,,,,,,,,,,nfl.com_updated,2025-07-18 16:57:58.862791,8.0,2025-07-20T02:59:01.382927,0.0,33.0,0.0,38.0,75.0,23.1
Andre Baccellia,cardinals,WR,82.0,"7'0""",175,28.0,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.206200,,,0.0,0.0,0.0,40.0,70.0,13.0
Isaiah Adams,cardinals,G,74.0,"7'6""",316,25.0,,Illinois,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.205800,,,0.0,0.0,0.0,40.0,80.0,14.0
Budda Baker,cardinals,S,3.0,"7'0""",195,29.0,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.206650,,,0.0,0.0,0.0,38.0,45.0,10.2
Trey Benson,cardinals,RB,33.0,"7'2""",216,23.0,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.207259,,,0.0,0.0,0.0,36.0,40.0,9.4
Kelvin Beachum,cardinals,OT,68.0,"7'5""",308,36.0,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.207068,,,0.0,0.0,0.0,24.0,50.0,8.6
Joey Blount,cardinals,SAF,32.0,"7'3""",201,26.0,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.207709,,,0.0,0.0,0.0,40.0,60.0,12.0
Aaron Brewer,cardinals,LS,46.0,"7'7""",232,27.0,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.208067,,,0.0,0.0,0.0,40.0,60.0,12.0
Jacoby Brissett,cardinals,QB,7.0,"7'6""",235,32.0,,N.C. State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.208788,,,0.0,0.0,0.0,32.0,60.0,10.8
Ekow Boye-Doe,cardinals,CB,35.0,"7'2""",177,25.0,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.207837,,,0.0,0.0,0.0,40.0,60.0,12.0
Evan Brown,cardinals,C,62.0,"7'5""",320,28.0,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.209120,,,0.0,0.0,0.0,40.0,80.0,14.0
Elliott Brown,cardinals,LB,41.0,"7'7""",240,27.0,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.209007,,,0.0,0.0,0.0,40.0,60.0,12.0
Sean Murphy-Bunting,cardinals,CB,23.0,"7'2""",195,28.0,,Central Michigan,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.209901,,,0.0,0.0,0.0,40.0,60.0,12.0
Denzel Burke,cardinals,CB,29.0,"7'1""",186,22.0,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.210659,,,0.0,0.0,0.0,34.0,40.0,9.1
Baron Browning,cardinals,LB,5.0,"7'5""",240,26.0,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:46.209612,,,0.0,0.0,0.0,40.0,60.0,12.0
