name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,age,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,current_salary,contract_value,contract_years,signing_bonus,guaranteed_money,cap_hit,dead_money,pro_bowls,all_pros,rookie_of_year,mvp_awards,championships,hall_of_fame,birth_date,birth_place,high_school,draft_year,draft_round,draft_pick,draft_team,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,data_quality_score,data_sources,last_updated,comprehensive_enhanced
Tony Adams,22.0,SAF,ACT,"7'1""",203,4,Illinois,jets,nfl.com,2025-07-18T17:31:05.246160,,@tonyadams,tonyadams,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Tony_Adams,,,,https://www.spotrac.com/nfl/jets/tony-adams/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.246721,True
Braelon Allen,,RB,ACT,"7'3""",235,2,Wisconsin,jets,nfl.com,2025-07-18T17:31:05.246177,,@braelonallen,braelonallen,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Braelon_Allen,,,,https://www.spotrac.com/nfl/jets/braelon-allen/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.347021,True
Zaire Barnes,53.0,LB,ACT,"7'3""",227,3,Western Michigan,jets,nfl.com,2025-07-18T17:31:05.246182,,@zairebarnes,zairebarnes,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Zaire_Barnes,,,,https://www.spotrac.com/nfl/jets/zaire-barnes/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.447329,True
Tyler Baron,94.0,DE,ACT,"7'6""",258,R,Miami,jets,nfl.com,2025-07-18T17:31:05.246187,,@tylerbaron,tylerbaron,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Tyler_Baron,,,,https://www.spotrac.com/nfl/jets/tyler-baron/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.547667,True
Jared Bartlett,50.0,LB,ACT,"7'4""",237,R,Cincinnati,jets,nfl.com,2025-07-18T17:31:05.246191,,@jaredbartlett,jaredbartlett,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jared_Bartlett,,,,https://www.spotrac.com/nfl/jets/jared-bartlett/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.647982,True
Andrew Beck,47.0,RB,ACT,"7'5""",255,6,Texas,jets,nfl.com,2025-07-18T17:31:05.246195,,@andrewbeck,andrewbeck,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Andrew_Beck,,,,https://www.spotrac.com/nfl/jets/andrew-beck/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.748700,True
Jarrick Bernard-Converse,29.0,CB,ACT,"7'3""",205,3,LSU,jets,nfl.com,2025-07-18T17:31:05.246199,,@jarrickbernard-converse,jarrickbernard-converse,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jarrick_Bernard-Converse,,,,https://www.spotrac.com/nfl/jets/jarrick-bernard-converse/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.852135,True
Kris Boyd,17.0,DB,ACT,"7'1""",200,7,Texas,jets,nfl.com,2025-07-18T17:31:05.246208,,@krisboyd,krisboyd,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Kris_Boyd,,,,https://www.spotrac.com/nfl/jets/kris-boyd/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:05.952443,True
Michael Carter II,30.0,CB,ACT,"7'0""",184,5,Duke,jets,nfl.com,2025-07-18T17:31:05.246213,,@michaelcarterii,michaelcarterii,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Michael_Carter_II,,,,https://www.spotrac.com/nfl/jets/michael-carter-ii/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:06.052790,True
Irvin Charles,19.0,WR,ACT,"7'6""",219,3,"Indiana PA,  University of",jets,nfl.com,2025-07-18T17:31:05.246216,,@irvincharles,irvincharles,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Irvin_Charles,,,,https://www.spotrac.com/nfl/jets/irvin-charles/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:06.153640,True
Andre Cisco,8.0,SAF,ACT,"7'2""",210,5,Syracuse,jets,nfl.com,2025-07-18T17:31:05.246222,,@andrecisco,andrecisco,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Andre_Cisco,,,,https://www.spotrac.com/nfl/jets/andre-cisco/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:06.254275,True
Dean Clark,35.0,SAF,ACT,"7'3""",206,R,Fresno State,jets,nfl.com,2025-07-18T17:31:05.246229,,@deanclark,deanclark,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Dean_Clark,,,,https://www.spotrac.com/nfl/jets/dean-clark/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:06.354579,True
Jordan Clark,33.0,CB,ACT,"6'9""",184,R,Notre Dame,jets,nfl.com,2025-07-18T17:31:05.246241,,@jordanclark,jordanclark,,,10000,15000,,,,,,,,,,,,,,,,,,,,,,,,"$2,500,000","$10,000,000",4,,,,,,,,,,,,"City, State",High School Name,,,,,https://en.wikipedia.org/wiki/Jordan_Clark,,,,https://www.spotrac.com/nfl/jets/jordan-clark/,2.9,"['Wikipedia', 'NFL.com']",2025-07-18T17:31:06.454865,True
