name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at,age,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,draft_pick,draft_round,draft_team,draft_year,contract_value,contract_years,current_salary,cap_hit,guaranteed_money,championships,all_pros,pro_bowls,awards,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,career_games,career_starts,career_pass_attempts,career_pass_completions,passing_yards_2023,passing_tds_2023,rushing_yards_2023,rushing_tds_2023,receiving_yards_2023,receiving_tds_2023,tackles_2023,sacks_2023,interceptions_2023,birth_date,birth_place,high_school,rookie_of_year,mvp_awards,hall_of_fame,signing_bonus,dead_money,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,data_sources,last_updated,data_quality_score,comprehensive_enhanced
Israel Abanikanda,20,RB,ACT,"7'0""",216,3,Pittsburgh,49ers,real_data_only,2025-07-20T02:39:22.108551,25.0,,,,,,,,,,,,,,,,,,143.0,5.0,New York Jets,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:39:22.108545,1.0,True
Brandon Aiyuk,11,WR,ACT,"7'2""",200,6,Arizona State,49ers,real_data_only,2025-07-20T02:39:41.604458,28.0,,,,,,,,,,,,,,,,,,25.0,1.0,San Francisco 49ers,2020.0,,,14889000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com', 'AI Contract Analysis']",2025-07-20T02:39:41.604439,1.1,True
Isaac Alarcon,67,OT,ACT,"7'9""",320,1,,49ers,real_data_only,2025-07-20T02:39:57.920410,23.0,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:39:57.920395,0.8,True
Evan Anderson,69,DL,ACT,"7'5""",326,2,Florida Atlantic,49ers,real_data_only,2025-07-20T02:40:14.830966,24.0,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:40:14.830956,0.8,True
Tre Avery,36,CB,ACT,"7'1""",181,4,Rutgers,49ers,real_data_only,2025-07-20T02:40:31.224598,26.0,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:40:31.224585,0.8,True
Ben Bartch,78,OT,ACT,"7'8""",315,6,St. John's (MN),49ers,real_data_only,2025-07-20T02:40:51.273086,28.0,,,,,,,,,,,,,,,,,,116.0,4.0,Jacksonville Jaguars,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:40:51.273074,1.0,True
Robert Beal Jr.,51,DE,ACT,"7'6""",250,3,Georgia,49ers,real_data_only,2025-07-20T02:41:07.855902,25.0,,,,,,,,,,,,,,,,,,173.0,5.0,San Francisco 49ers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:41:07.855891,1.0,True
Junior Bergen,86,WR,ACT,"6'9""",184,R,Montana,49ers,real_data_only,2025-07-20T02:41:24.124099,,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:41:24.124084,0.8,True
Tatum Bethune,48,LB,ACT,"7'2""",230,2,Florida State,49ers,real_data_only,2025-07-20T02:41:42.839449,24.0,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:41:42.839435,0.8,True
Stone Blanton,50,LB,ACT,"7'3""",227,R,Mississippi State,49ers,real_data_only,2025-07-20T02:41:59.323176,,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/49ers/roster/,,,,"['Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com']",2025-07-20T02:41:59.323162,0.8,True
