name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,current_salary,contract_value,contract_years,signing_bonus,guaranteed_money,cap_hit,dead_money,pro_bowls,all_pros,rookie_of_year,mvp_awards,championships,hall_of_fame,birth_date,birth_place,high_school,draft_year,draft_round,draft_pick,draft_team,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,data_quality_score,data_sources,last_updated,comprehensive_enhanced
Felix Anudike-Uzomah,97,DE,ACT,"6'4""",255,,3,Kansas State,chiefs,nfl.com,2025-07-20T15:56:42.757992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri, U.S.","Lee's Summit (Lee's Summit, Missouri)",,,,,https://en.wikipedia.org/wiki/Felix_Anudike-Uzomah,,,,https://www.spotrac.com/nfl/chiefs/felix-anudike-uzomah/,1.8,"['Wikipedia', 'NFL.com']",2025-07-20T15:56:42.759216,True
Matt Araiza,14,P,ACT,"6'2""",200,,2,San Diego State,chiefs,nfl.com,2025-07-20T15:56:42.758013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/matt-araiza/,1.3,['NFL.com'],2025-07-20T15:56:45.820692,True
Elijhah Badger,80,WR,ACT,"6'1""",192,,R,Florida,chiefs,nfl.com,2025-07-20T15:56:42.758022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/elijhah-badger/,1.3,['NFL.com'],2025-07-20T15:56:47.741580,True
Jeffrey Bassa,31,LB,ACT,"6'2""",235,,R,Oregon,chiefs,nfl.com,2025-07-20T15:56:42.758104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/jeffrey-bassa/,1.3,['NFL.com'],2025-07-20T15:56:49.570877,True
Nick Bolton,32,LB,ACT,"5'11""",237,,5,Missouri,chiefs,nfl.com,2025-07-20T15:56:42.758114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/nick-bolton/,1.3,['NFL.com'],2025-07-20T15:56:52.555576,True
Jake Briningstool,88,TE,ACT,"6'6""",240,,R,Clemson,chiefs,nfl.com,2025-07-20T15:56:42.758123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/jake-briningstool/,1.3,['NFL.com'],2025-07-20T15:56:55.775272,True
Marquise Brown,5,WR,ACT,"5'9""",180,,7,Oklahoma,chiefs,nfl.com,2025-07-20T15:56:42.758131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/marquise-brown/,1.3,['NFL.com'],2025-07-20T15:56:58.780944,True
Jason Brownlee,89,WR,ACT,"6'3""",202,,2,Southern Mississippi,chiefs,nfl.com,2025-07-20T15:56:42.758144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/jason-brownlee/,1.3,['NFL.com'],2025-07-20T15:57:01.771623,True
Deon Bush,26,SAF,ACT,"6'0""",200,,9,Miami,chiefs,nfl.com,2025-07-20T15:56:42.758153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/deon-bush/,1.3,['NFL.com'],2025-07-20T15:57:05.049320,True
Harrison Butker,7,K,ACT,"6'4""",205,,9,Georgia Tech,chiefs,nfl.com,2025-07-20T15:56:42.758160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/chiefs/harrison-butker/,1.3,['NFL.com'],2025-07-20T15:57:08.456447,True
Isaiah Adams,74,G,ACT,"6'4""",316,,2,Illinois,cardinals,nfl.com,2025-07-20T15:57:41.122941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/isaiah-adams/,1.3,['NFL.com'],2025-07-20T15:57:41.127019,True
Andre Baccellia,82,WR,ACT,"5'10""",175,,2,Washington,cardinals,nfl.com,2025-07-20T15:57:41.122962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/andre-baccellia/,1.3,['NFL.com'],2025-07-20T15:57:44.102642,True
Budda Baker,3,S,ACT,"5'10""",195,,9,Washington,cardinals,nfl.com,2025-07-20T15:57:41.122972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/budda-baker/,1.3,['NFL.com'],2025-07-20T15:57:47.102074,True
Kelvin Beachum,68,OT,ACT,"6'3""",308,,14,SMU,cardinals,nfl.com,2025-07-20T15:57:41.122979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/kelvin-beachum/,1.3,['NFL.com'],2025-07-20T15:57:50.460064,True
Trey Benson,33,RB,ACT,"6'0""",216,,2,Florida State,cardinals,nfl.com,2025-07-20T15:57:41.122987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/trey-benson/,1.3,['NFL.com'],2025-07-20T15:57:53.632811,True
Joey Blount,32,SAF,ACT,"6'1""",201,,4,Virginia,cardinals,nfl.com,2025-07-20T15:57:41.122994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/joey-blount/,1.3,['NFL.com'],2025-07-20T15:57:56.450721,True
Ekow Boye-Doe,35,CB,ACT,"6'0""",177,,2,Kansas State,cardinals,nfl.com,2025-07-20T15:57:41.123001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/ekow-boye-doe/,1.3,['NFL.com'],2025-07-20T15:57:59.923908,True
Aaron Brewer,46,LS,ACT,"6'5""",232,,14,San Diego State,cardinals,nfl.com,2025-07-20T15:57:41.123007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/aaron-brewer/,1.3,['NFL.com'],2025-07-20T15:58:03.115119,True
Jacoby Brissett,7,QB,ACT,"6'4""",235,,10,N.C. State,cardinals,nfl.com,2025-07-20T15:57:41.123014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/jacoby-brissett/,1.3,['NFL.com'],2025-07-20T15:58:06.310767,True
Elliott Brown,41,LB,ACT,"6'5""",240,,R,Virginia,cardinals,nfl.com,2025-07-20T15:57:41.123047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/cardinals/elliott-brown/,1.3,['NFL.com'],2025-07-20T15:58:09.476781,True
Maurice Alexander,13,WR,ACT,"5'11""",180,,1,Florida International,bears,nfl.com,2025-07-20T15:58:41.338933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/maurice-alexander/,1.3,['NFL.com'],2025-07-20T15:58:41.340570,True
Kiran Amegadjie,72,OT,ACT,"6'5""",326,,2,Yale,bears,nfl.com,2025-07-20T15:58:41.338951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/kiran-amegadjie/,1.3,['NFL.com'],2025-07-20T15:58:45.331636,True
Tyson Bagent,17,QB,ACT,"6'3""",213,,3,Shepherd,bears,nfl.com,2025-07-20T15:58:41.338958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/tyson-bagent/,1.3,['NFL.com'],2025-07-20T15:58:48.593746,True
Ryan Bates,71,OT,ACT,"6'4""",302,,7,Penn State,bears,nfl.com,2025-07-20T15:58:41.338965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/ryan-bates/,1.3,['NFL.com'],2025-07-20T15:58:50.528353,True
Theo Benedet,79,OL,ACT,"6'7""",305,,1,University of British Columbia,bears,nfl.com,2025-07-20T15:58:41.338973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/theo-benedet/,1.3,['NFL.com'],2025-07-20T15:58:53.461207,True
Andrew Billings,97,DT,ACT,"6'1""",311,,9,Baylor,bears,nfl.com,2025-07-20T15:58:41.338978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/andrew-billings/,1.3,['NFL.com'],2025-07-20T15:58:57.079988,True
Josh Blackwell,39,CB,ACT,"5'11""",180,,4,Duke,bears,nfl.com,2025-07-20T15:58:41.338982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.spotrac.com/nfl/bears/josh-blackwell/,1.3,['NFL.com'],2025-07-20T15:59:00.855419,True
