name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,twitter_handle,instagram_handle,tiktok_handle,youtube_handle,twitter_followers,instagram_followers,tiktok_followers,youtube_subscribers,twitter_following,instagram_following,tiktok_following,twitter_verified,instagram_verified,twitter_url,instagram_url,tiktok_url,youtube_url,draft_pick,draft_round,draft_team,draft_year,contract_value,contract_years,current_salary,cap_hit,guaranteed_money,championships,all_pros,pro_bowls,awards,career_pass_yards,career_pass_tds,career_pass_ints,career_pass_rating,career_rush_yards,career_rush_tds,career_receptions,career_rec_yards,career_rec_tds,career_tackles,career_sacks,career_interceptions,career_games,career_starts,career_pass_attempts,career_pass_completions,passing_yards_2023,passing_tds_2023,rushing_yards_2023,rushing_tds_2023,receiving_yards_2023,receiving_tds_2023,tackles_2023,sacks_2023,interceptions_2023,birth_date,birth_place,high_school,rookie_of_year,mvp_awards,hall_of_fame,signing_bonus,dead_money,wikipedia_url,nfl_com_url,espn_url,pff_url,spotrac_url,google_news_url,news_headline_count,recent_headlines,news_bio_snippets,data_sources,last_updated,data_quality_score,comprehensive_enhanced,brand_power,proof,proximity,velocity,risk,total_gravity
Talanoa Hufanga,9.0,SAF,ACT,"6'0""",200,27.0,5,USC,broncos,real_data_only,2025-07-21T14:19:07.630403,,,,,,,,,,,,,,,,,,180.0,5.0,San Francisco 49ers,2021.0,,,,,,,2022,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Achievement Analysis', 'AI Draft Analysis']",2025-07-21T14:19:07.630384,1.2,True,51.0,50.4,10.5,56.2,71.0,45.5
Garett Bolles,72.0,OT,ACT,"6'5""",300,31.0,9,Utah,broncos,real_data_only,2025-07-21T14:04:47.239609,,,,,,,,,,,,,,,,,,20.0,1.0,Denver Broncos,2017.0,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Achievement Analysis', 'AI Draft Analysis']",2025-07-21T14:04:47.239595,1.1,True,31.0,52.5,10.5,41.2,65.0,38.3
Michael Burton,20.0,FB,ACT,"6'0""",247,33.0,11,Rutgers,broncos,real_data_only,2025-07-21T14:07:00.098330,,,,,,,,,,,,,,,,,,168.0,5.0,Detroit Lions,2015.0,,,,,,2022,,,All-Pro 2021,,,,,,,,,,,,,,,,,,,,,,,,,,"(1992-02-01) February 1, 1992 (age 33)Long Valley, New Jersey, U.S.",,"West Morris Central (Washington Township, New Jersey)",,,,,,https://en.wikipedia.org/wiki/Michael_Burton_(American_football),https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['Wikipedia', 'Vision-Enhanced Social Media', 'AI Draft Analysis', 'NFL.com', 'AI Achievement Analysis']",2025-07-21T14:07:00.098318,1.4,True,6.0,57.9,50.5,23.8,53.0,37.8
Courtland Sutton,14.0,WR,ACT,"6'4""",216,30.0,8,SMU,broncos,real_data_only,2025-07-21T14:42:44.728784,,,,,,,,,,,,,,,,,,40.0,2.0,Denver Broncos,2018.0,60700000.0,4.0,13100000.0,,34500000.0,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis', 'NFL.com', 'AI Achievement Analysis']",2025-07-21T14:42:44.728764,1.4,True,37.2,25.4,10.5,48.9,71.0,33.5
John Franklin-Myers,98.0,DE,ACT,"6'4""",288,30.0,8,Stephen F. Austin State,broncos,real_data_only,2025-07-21T14:15:48.912165,,,,,,,,,,,,,,,,,,135.0,4.0,Los Angeles Rams,2018.0,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Achievement Analysis', 'AI Draft Analysis']",2025-07-21T14:15:48.912149,1.1,True,6.0,29.3,50.5,18.8,86.0,31.8
Evan Engram,1.0,TE,ACT,"6'3""",240,31.0,9,Mississippi,broncos,real_data_only,2025-07-21T14:12:03.017625,,,,,,,,,,,,,,,,,,23.0,1.0,New York Giants,2017.0,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Achievement Analysis', 'AI Draft Analysis']",2025-07-21T14:12:03.017610,1.1,True,31.0,30.3,11.6,25.0,86.0,31.5
Mike McGlinchey,69.0,OT,ACT,"6'8""",315,30.0,8,Notre Dame,broncos,real_data_only,2025-07-21T14:25:50.499690,,,,,,,,,,,,,,,,,,9.0,1.0,San Francisco 49ers,2018.0,87000000.0,5.0,17100000.0,,50500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1944-12-28)December 28, 1944Richland, Washington, U.S.",,,,,,,,https://en.wikipedia.org/wiki/Mike_McGlinchey_(American_football_coach),https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['Wikipedia', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis', 'NFL.com']",2025-07-21T14:25:50.499674,1.4,True,6.0,41.7,10.5,54.8,71.0,31.4
Ben Powers,74.0,G,ACT,"6'4""",310,29.0,7,Oklahoma,broncos,real_data_only,2025-07-21T14:34:22.223651,,,,,,,,,,,,,,,,,,123.0,4.0,Baltimore Ravens,2019.0,51950000.0,4.0,13250000.0,,28700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1996-10-29) October 29, 1996 (age 28)Wichita, Kansas, U.S.",,"Kapaun Mt. Carmel (Wichita, Kansas)",,,,,,https://en.wikipedia.org/wiki/Ben_Powers_(American_football),https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['Wikipedia', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis', 'NFL.com']",2025-07-21T14:34:22.223639,1.5,True,6.0,39.6,10.5,58.0,71.0,31.3
Quinn Meinerz,77.0,C,ACT,"6'3""",320,27.0,5,Wisconsin-Whitewater,broncos,real_data_only,2025-07-21T14:27:33.979316,,,,,,,,,,,,,,,,,,98.0,3.0,Denver Broncos,2021.0,5042416.0,4.0,1370000.0,,876416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis']",2025-07-21T14:27:33.979305,1.3,True,6.0,35.4,10.5,63.0,71.0,30.8
Pat Surtain II,2.0,CB,ACT,"6'2""",202,27.0,5,Alabama,broncos,real_data_only,2025-07-21T14:42:12.454475,,,,,,,,,,,,,,,,,,9.0,1.0,Denver Broncos,2021.0,20696526.0,4.0,2644506.0,,20696526.0,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['Vision-Enhanced Social Media', 'AI Contract Analysis', 'AI Draft Analysis', 'NFL.com', 'AI Achievement Analysis']",2025-07-21T14:42:12.454460,1.4,True,31.0,19.2,10.5,55.9,56.0,29.6
Sam Franklin Jr.,42.0,SAF,ACT,"6'3""",210,28.0,6,Temple,broncos,real_data_only,2025-07-21T14:14:45.407691,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:14:45.407676,0.9,True,6.0,37.5,10.5,42.5,71.0,28.3
P.J. Locke,6.0,SAF,ACT,"5'10""",202,28.0,6,Texas,broncos,real_data_only,2025-07-21T14:23:34.885552,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:23:34.885540,0.9,True,6.0,37.5,10.5,42.5,71.0,28.3
Brandon Jones,22.0,SAF,ACT,"6'1""",191,28.0,6,Texas,broncos,real_data_only,2025-07-21T14:20:46.127971,,,,,,,,,,,,,,,,,,70.0,3.0,Miami Dolphins,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:20:46.127956,1.1,True,6.0,37.5,10.5,42.5,71.0,28.3
Matt Peart,79.0,OT,ACT,"6'7""",318,28.0,6,Connecticut,broncos,real_data_only,2025-07-21T14:32:37.032452,,,,,,,,,,,,,,,,,,99.0,3.0,New York Giants,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:32:37.032440,1.1,True,6.0,37.5,10.5,42.5,71.0,28.3
Calvin Throckmorton,76.0,G,ACT,"6'5""",311,27.0,5,Oregon,broncos,real_data_only,2025-07-21T14:43:48.988507,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:43:48.988496,0.9,True,6.0,35.4,10.5,46.2,71.0,28.3
Luke Wattenberg,60.0,C,ACT,"6'5""",300,26.0,4,Washington,broncos,real_data_only,2025-07-21T14:49:20.724888,,,,,,,,,,,,,,,,,,171.0,5.0,Denver Broncos,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:49:20.724876,1.1,True,6.0,33.3,10.5,50.0,71.0,28.2
Mitchell Fraboni,48.0,LS,ACT,"6'2""",223,26.0,4,Arizona State,broncos,real_data_only,2025-07-21T14:14:13.254904,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:14:13.254892,0.9,True,6.0,33.3,10.5,50.0,71.0,28.2
Delarrin Turner-Yell,32.0,SAF,ACT,"5'11""",200,26.0,4,Oklahoma,broncos,real_data_only,2025-07-21T14:46:34.193338,,,,,,,,,,,,,,,,,,152.0,5.0,Denver Broncos,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:46:34.193328,1.1,True,6.0,33.3,10.5,50.0,71.0,28.2
Wil Lutz,3.0,K,ACT,"5'11""",184,32.0,10,Georgia State,broncos,real_data_only,2025-07-21T14:24:43.889439,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:24:43.889425,0.9,True,6.0,45.8,10.5,27.5,59.0,27.4
JL Skinner,34.0,SAF,ACT,"6'4""",220,25.0,3,Boise State,broncos,real_data_only,2025-07-21T14:40:02.027678,,,,,,,,,,,,,,,,,,183.0,6.0,Denver Broncos,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:40:02.027662,1.1,True,6.0,31.2,10.5,48.8,67.0,27.0
Alex Palczewski,63.0,OT,ACT,"6'6""",315,25.0,3,Illinois,broncos,real_data_only,2025-07-21T14:32:02.232241,,,,,,,,,,,,,,,,,,,,Undrafted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nfl.com/teams/broncos/roster/,,,,,,[],[],"['NFL.com', 'Vision-Enhanced Social Media', 'AI Draft Analysis']",2025-07-21T14:32:02.232225,0.9,True,6.0,31.2,10.5,48.8,67.0,27.0
