name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Jake Bailey,dolphins,P,16.0,"7'4""",212,,,Stanford,,,,,,,,,,,,,,nfl.com,2025-07-18 16:58:32.426366,6.0,25.0,10.5,20.0,88.8,23.0
Tyler Bass,bills,K,2.0,"7'0""",183,,,Georgia Southern,,,,,,,,,,,,,,nfl.com,2025-07-18 16:56:12.486123,6.0,25.0,10.5,20.0,88.8,23.0
Sam Martin,panthers,P,6.0,"7'3""",211,,,Appalachian State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:56:20.337865,6.0,25.0,10.5,20.0,88.8,23.0
Jake Elliott,eagles,K,4.0,"6'9""",167,,,Memphis,,,,,,,,,,,,,,nfl.com,2025-07-18 17:00:17.634534,6.0,25.0,10.5,20.0,88.8,23.0
Austin McNamara,jets,P,14.0,"7'6""",204,,,Texas Tech,,,,,,,,,,,,,,nfl.com,2025-07-18 16:59:17.211641,6.0,25.0,10.5,20.0,88.8,23.0
Harrison Butker,chiefs,K,7.0,"7'6""",205,,,Georgia Tech,,,,,,,,,,,,,,nfl.com,2025-07-18 16:57:58.850784,6.0,25.0,10.5,20.0,88.8,23.0
Matt Gay,commanders,K,16.0,"7'2""",232,,,Utah,,,,,,,,,,,,,,nfl.com,2025-07-18 16:59:59.953594,6.0,25.0,10.5,20.0,88.8,23.0
Younghoe Koo,falcons,K,6.0,"7'0""",195,,,Georgia Southern,,,,,,,,,,,,,,nfl.com,2025-07-18 16:55:55.360135,6.0,25.0,10.5,20.0,88.8,23.0
Jason Myers,seahawks,K,5.0,"7'0""",190,,,Marist,,,,,,,,,,,,,,nfl.com,2025-07-18 16:59:32.727284,6.0,25.0,10.5,20.0,88.8,23.0
Matt Araiza,chiefs,P,14.0,"7'4""",200,,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-18 16:57:58.847089,6.0,25.0,10.5,20.0,88.8,23.0
Daniel Whelan,packers,P,19.0,"7'7""",216,,,UC Davis,,,,,,,,,,,,,,nfl.com,2025-07-18 16:57:22.494519,6.0,25.0,10.5,20.0,88.8,23.0
Daniel Carlson,raiders,K,8.0,"7'7""",215,,,Auburn,,,,,,,,,,,,,,nfl.com,2025-07-18 16:58:06.800721,6.0,25.0,10.5,20.0,88.8,23.0
Brandon McManus,packers,K,17.0,"7'5""",201,,,Temple,,,,,,,,,,,,,,nfl.com,2025-07-18 16:57:22.482756,6.0,25.0,10.5,20.0,88.8,23.0
Joshua Karty,rams,K,16.0,"7'4""",208,,,Stanford,,,,,,,,,,,,,,nfl.com,2025-07-18 16:58:23.714887,6.0,25.0,10.5,20.0,88.8,23.0
Chris Boswell,steelers,K,9.0,"7'4""",185,,,Rice,,,,,,,,,,,,,,nfl.com,2025-07-18 16:59:40.418061,6.0,25.0,10.5,20.0,88.8,23.0
Evan McPherson,bengals,K,2.0,"7'1""",185,,,Florida,,,,,,,,,,,,,,nfl.com,2025-07-18 16:56:37.869403,6.0,25.0,10.5,20.0,88.8,23.0
