name,jersey_number,position,status,height,weight,experience,college,team,data_source,scraped_at
Felix Anudike-Uzomah,97.0,DE,ACT,"7'6""",255,3,Kansas State,chiefs,nfl.com,2025-07-20T02:19:44.215733
Matt Araiza,14.0,P,ACT,"7'4""",200,2,San Diego State,chiefs,nfl.com,2025-07-20T02:19:44.215750
Elijhah Badger,80.0,WR,ACT,"7'3""",192,R,Florida,chiefs,nfl.com,2025-07-20T02:19:44.215755
Jeffrey Bassa,31.0,LB,ACT,"7'4""",235,R,Oregon,chiefs,nfl.com,2025-07-20T02:19:44.215759
Nick Bolton,32.0,LB,ACT,"7'1""",237,5,Missouri,chiefs,nfl.com,2025-07-20T02:19:44.215763
Jake Briningstool,88.0,TE,ACT,"7'8""",240,R,Clemson,chiefs,nfl.com,2025-07-20T02:19:44.215768
Marquise Brown,5.0,WR,ACT,"6'9""",180,7,Oklahoma,chiefs,nfl.com,2025-07-20T02:19:44.215772
Jason Brownlee,89.0,WR,ACT,"7'5""",202,2,Southern Mississippi,chiefs,nfl.com,2025-07-20T02:19:44.215781
Deon Bush,26.0,SAF,ACT,"7'2""",200,9,Miami,chiefs,nfl.com,2025-07-20T02:19:44.215786
Harrison Butker,7.0,K,ACT,"7'6""",205,9,Georgia Tech,chiefs,nfl.com,2025-07-20T02:19:44.215790
Mike Caliendo,66.0,G,ACT,"7'6""",300,3,Western Michigan,chiefs,nfl.com,2025-07-20T02:19:44.215794
Leo Chenal,54.0,LB,ACT,"7'5""",250,4,Wisconsin,chiefs,nfl.com,2025-07-20T02:19:44.215797
Cole Christiansen,48.0,LB,ACT,"7'3""",230,2,Army,chiefs,nfl.com,2025-07-20T02:19:44.215808
Jack Cochrane,43.0,LB,ACT,"7'5""",236,4,South Dakota,chiefs,nfl.com,2025-07-20T02:19:44.215811
Chamarri Conner,27.0,DB,ACT,"7'2""",202,3,Virginia Tech,chiefs,nfl.com,2025-07-20T02:19:44.215815
Bryan Cook,6.0,SAF,ACT,"7'3""",206,4,Cincinnati,chiefs,nfl.com,2025-07-20T02:19:44.215819
Dalton Cooper,73.0,OT,ACT,"7'9""",315,R,Oklahoma State,chiefs,nfl.com,2025-07-20T02:19:44.215826
Jacobe Covington,40.0,CB,ACT,"7'4""",200,R,USC,chiefs,nfl.com,2025-07-20T02:19:44.215833
Eddie Czaplicki,47.0,P,ACT,"7'3""",207,R,USC,chiefs,nfl.com,2025-07-20T02:19:44.215840
Mac Dalena,84.0,WR,ACT,"7'1""",180,R,Fresno State,chiefs,nfl.com,2025-07-20T02:19:44.215844
Michael Danna,51.0,DE,ACT,"7'4""",257,6,Michigan,chiefs,nfl.com,2025-07-20T02:19:44.215847
Ethan Driskell,75.0,OT,ACT,"8'0""",313,2,Marshall,chiefs,nfl.com,2025-07-20T02:19:44.215851
Mike Edwards,34.0,SAF,ACT,"7'0""",205,7,Kentucky,chiefs,nfl.com,2025-07-20T02:19:44.215854
Kristian Fulton,8.0,CB,ACT,"7'1""",197,5,LSU,chiefs,nfl.com,2025-07-20T02:19:44.215860
Brandon George,50.0,LB,ACT,"7'5""",240,R,Pittsburgh,chiefs,nfl.com,2025-07-20T02:19:44.215866
Ashton Gillotte,97.0,DE,ACT,"7'5""",270,R,Louisville,chiefs,nfl.com,2025-07-20T02:19:44.215873
Chukwuebuka Godrick,72.0,OT,ACT,"7'7""",293,1,,chiefs,nfl.com,2025-07-20T02:19:44.215880
