name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at
Felix Anudike-Uzomah,chiefs,DE,97.0,"6'4""",255,,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.441953
Matt Araiza,chiefs,P,14.0,"6'2""",200,,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.442412
Elijhah Badger,chiefs,WR,80.0,"6'1""",192,,,Florida,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.442972
Jeffrey Bassa,chiefs,LB,31.0,"6'2""",235,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.443892
Marquise Brown,chiefs,WR,5.0,"5'9""",180,,,Oklahoma,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.448754
Jason Brownlee,chiefs,WR,89.0,"6'3""",202,,,Southern Mississippi,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.448982
Mike Caliendo,chiefs,G,66.0,"6'4""",300,,,Western Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.451295
Leo Chenal,chiefs,LB,54.0,"6'3""",250,,,Wisconsin,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.451600
Harrison Butker,chiefs,K,7.0,"6'4""",205,,,Georgia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.450931
Deon Bush,chiefs,SAF,26.0,"6'0""",200,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.449883
Nick Bolton,chiefs,LB,32.0,"5'11""",237,,,Missouri,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.443978
Jake Briningstool,chiefs,TE,88.0,"6'6""",240,,,Clemson,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.444497
Chamarri Conner,chiefs,DB,27.0,"6'0""",202,,,Virginia Tech,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.452452
Bryan Cook,chiefs,SAF,6.0,"6'1""",206,,,Cincinnati,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.452792
Cole Christiansen,chiefs,LB,48.0,"6'1""",230,,,Army,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.451951
Jack Cochrane,chiefs,LB,43.0,"6'3""",236,,,South Dakota,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.452216
Jacobe Covington,chiefs,CB,40.0,"6'2""",200,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.454361
Eddie Czaplicki,chiefs,P,47.0,"6'1""",207,,,USC,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.455190
Dalton Cooper,chiefs,OT,73.0,"6'7""",315,,,Oklahoma State,,,,,,,,,,,,,,nfl.com,2025-07-20 02:57:06.453108
