name,jersey_number,position,status,height,weight,age,experience,college,team,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Michael Burton,20.0,FB,ACT,"6'0""",247,,11,Rutgers,broncos,nfl.com,2025-07-21T13:58:17.700387,6.0,47.9,10.5,20.0,63.5,27.3
Wil Lutz,3.0,K,ACT,"5'11""",184,,10,Georgia State,broncos,nfl.com,2025-07-21T13:58:17.700638,6.0,45.8,10.5,20.0,68.0,27.2
Garett Bolles,72.0,OT,ACT,"6'5""",300,,9,Utah,broncos,nfl.com,2025-07-21T13:58:17.700356,6.0,43.8,10.5,20.0,63.5,26.1
Mike McGlinchey,69.0,OT,ACT,"6'8""",315,,8,Notre Dame,broncos,nfl.com,2025-07-21T13:58:17.700653,6.0,41.7,10.5,20.0,63.5,25.4
Ben Powers,74.0,G,ACT,"6'4""",310,,7,Oklahoma,broncos,nfl.com,2025-07-21T13:58:17.700771,6.0,39.6,10.5,20.0,63.5,24.8
P.J. Locke,6.0,SAF,ACT,"5'10""",202,,6,Texas,broncos,nfl.com,2025-07-21T13:58:17.700622,6.0,37.5,10.5,20.0,63.5,24.2
Matt Peart,79.0,OT,ACT,"6'7""",318,,6,Connecticut,broncos,nfl.com,2025-07-21T13:58:17.700747,6.0,37.5,10.5,20.0,63.5,24.2
Brandon Jones,22.0,SAF,ACT,"6'1""",191,,6,Texas,broncos,nfl.com,2025-07-21T13:58:17.700582,6.0,37.5,10.5,20.0,63.5,24.2
Sam Franklin Jr.,42.0,SAF,ACT,"6'3""",210,,6,Temple,broncos,nfl.com,2025-07-21T13:58:17.700496,6.0,37.5,10.5,20.0,63.5,24.2
Quinn Meinerz,77.0,C,ACT,"6'3""",320,,5,Wisconsin-Whitewater,broncos,nfl.com,2025-07-21T13:58:17.700679,6.0,35.4,10.5,20.0,63.5,23.6
Talanoa Hufanga,9.0,SAF,ACT,"6'0""",200,,5,USC,broncos,nfl.com,2025-07-21T13:58:17.700558,6.0,35.4,10.5,20.0,63.5,23.6
Calvin Throckmorton,76.0,G,ACT,"6'5""",311,,5,Oregon,broncos,nfl.com,2025-07-21T13:58:17.700924,6.0,35.4,10.5,20.0,63.5,23.6
