name,team,position,jersey_number,height,weight,age,birth_date,college,draft_year,draft_round,draft_pick,years_pro,games_played,games_started,twitter_handle,instagram_handle,twitter_followers,instagram_followers,wikipedia_url,career_highlights,awards,data_source,scraped_at,brand_power,proof,proximity,velocity,risk,total_gravity
Andre Baccellia,cardinals,WR,82.0,"5'10""",175,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.454432,720.0,0.0,1050.0,0.0,5750.0,9.7
Budda Baker,cardinals,S,3.0,"5'10""",195,,,Washington,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455253,600.0,0.0,1160.0,0.0,6350.0,10.2
Isaiah Adams,cardinals,G,74.0,"6'4""",316,,,Illinois,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.453347,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Trey Benson,cardinals,RB,33.0,"6'0""",216,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455644,600.0,0.0,1050.0,0.0,4510.0,8.1
Joey Blount,cardinals,SAF,32.0,"6'1""",201,,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455927,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Ekow Boye-Doe,cardinals,CB,35.0,"6'0""",177,,,Kansas State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.456189,600.0,0.0,1050.0,0.0,4100.0,7.7
Kelvin Beachum,cardinals,OT,68.0,"6'3""",308,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.455398,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Jacoby Brissett,cardinals,QB,7.0,"6'4""",235,,,N.C. State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458051,780.0,0.0,1160.0,0.0,8300.0,12.6
Sean Murphy-Bunting,cardinals,CB,23.0,"6'0""",195,,,Central Michigan,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.459408,600.0,0.0,1050.0,0.0,4100.0,7.7
Baron Browning,cardinals,LB,5.0,"6'3""",240,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458975,600.0,0.0,1050.0,0.0,6350.0,10.0
Evan Brown,cardinals,C,62.0,"6'3""",320,,,SMU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458722,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Jordan Burch,cardinals,LB,52.0,"6'4""",279,,,Oregon,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.459737,600.0,0.0,1050.0,0.0,6050.0,9.7
Calais Campbell,cardinals,DE,93.0,"6'8""",307,,,Miami,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.461448,600.0,0.0,1050.0,0.0,7250.0,10.8
Elliott Brown,cardinals,LB,41.0,"6'5""",240,,,Virginia,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.458441,600.0,0.0,1050.0,0.0,6050.0,9.7
Oscar Cardenas,cardinals,TE,45.0,"6'4""",265,,,Texas-San Antonio,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.461661,600.0,0.0,1160.0,0.0,7550.0,11.4
Jeremiah Byers,cardinals,OT,67.0,"6'4""",320,,,Florida State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.460577,600.0,2500.0,1050.0,2000.0,6050.0,20.2
L.J. Collier,cardinals,DE,91.0,"6'3""",291,,,TCU,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.463055,600.0,0.0,1050.0,0.0,7250.0,10.8
Aaron Brewer,cardinals,LS,46.0,"6'5""",232,,,San Diego State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.456906,600.0,2500.0,1050.0,2000.0,6050.0,20.2
Denzel Burke,cardinals,CB,29.0,"5'11""",186,,,Ohio State,,,,,,,,,,,,,,nfl.com,2025-07-20 21:04:50.460258,600.0,0.0,1050.0,0.0,4100.0,7.7
